Run 1 Latency M[256],Run 2 Latency M[6400],Run 3 Latency M[12800],Run 4 Latency M[25600],Run 5 Latency M[51200],Run 6 Latency M[76800],Run 7 Latency M[102400],Run 8 Latency M[128000],Run 9 Latency M[153600],Run 10 Latency M[179200],Run 11 Latency M[204800],
10909665,14010300,15327015,22233934,31460687,40809555,50132373,59519646,73055003,82373743,91838219,
42485,1169329,6844796,9410326,18595594,32407991,41494115,50744103,59846900,69190095,78271638,
41918,1153656,2460676,9327381,23053621,27771923,41254926,50579806,59656897,68847823,82381907,
42165,5550101,6861141,9337890,18479958,32142477,36848176,50450301,59497520,68719737,77952862,
41894,1136399,2465785,13733857,18541865,27679398,41157793,50373957,59398217,68633278,77790209,
42322,1156905,6820464,9319962,22838276,32073296,41067652,50330290,59366991,72940504,82098011,
41971,1133734,6838684,9276611,18395247,27604042,36711495,50259755,54904764,68599961,77775998,
41869,5540298,2454672,9283314,18399208,31981457,41053724,45820940,59323299,68577800,77709646,
41909,1158886,6865828,9262001,22839525,27554703,36582614,50228749,59298480,68552513,77784286,
42098,1158363,2447878,9265090,18346846,32001673,40979459,50219439,59330841,68599441,82108393,
41844,5531004,6830516,13643669,18417119,27503596,41019519,50222558,59279159,68575839,77797321,
42138,1193450,6907221,9286034,22754270,31947467,36585417,45786983,59318801,68643276,77747528,
41968,1153590,2460543,9306658,18317258,27482039,40957428,50288111,59280742,68557638,77707131,
42034,1137534,6829857,9268314,18337081,31949697,40998482,50204222,59300025,68581509,82160991,
41841,5530646,2433570,9231805,22770347,27513342,36605568,50249463,59270655,72968315,77746885,
42294,1183360,6800846,13650513,18305234,31916851,40971023,50233633,59319561,68530500,77774042,
41819,1157951,6798125,9243768,18347491,27516828,36608494,45897782,59263545,68612476,77744334,
42015,5508459,2424550,9207003,22741291,31943385,40972479,50168396,59356281,68567348,82109793,
41854,1143284,6816694,9204868,18286953,27474092,40976349,50187946,54859914,68585872,77759810,
42113,1190046,2429399,9221951,18279398,27497262,36634336,50217967,59324380,68625731,77737259,
41984,1138715,6804859,9221172,18339429,31882011,40993128,45773607,59257064,68561587,77727432,
42777,5518092,6818379,13668791,22683144,27523445,36554310,50232230,59321098,68704659,82111390,
41981,1123016,2406223,9232415,18319376,31908950,41002888,50188846,59257504,68592361,77771069,
42037,1178932,6793078,9199317,18308661,27494169,40968806,50236022,59322681,68563702,77748310,
41883,1125489,2432347,9223504,22702927,31932872,36590088,50204051,59300280,72965852,82128232,
42128,5536555,6834884,9216250,18277338,27550182,40992994,45852357,59300996,68588153,77775612,
41818,1147607,2419670,9215873,18353684,31891118,36557566,50225940,59288043,68589340,77758790,
42076,1173276,6774285,13609074,22682520,27499440,41007852,50190253,59334243,68547561,77735924,
41999,5592716,6785022,9218439,18323492,31942066,41002101,50176842,59287995,68632087,82139125,
41985,1120920,2403165,9189241,18315040,27512077,36585957,50233263,59347098,68613985,77755293,
41938,1144478,6799221,9195316,22710358,31921752,40941479,45817798,54882077,68623333,77735458,
41935,1149527,2418759,9205573,18279007,27471256,41002554,50216310,59342846,68583467,77804780,
41924,5516988,6799932,9192455,18317781,31957872,36597426,50181378,59264031,68543435,82109661,
42022,1137994,6808366,13627580,18326486,27538594,41009647,50220115,59353848,72961186,77797660,
42002,1134611,2437608,9209156,22681786,31920231,36612350,45828343,59261348,68565493,77789789,
41949,5546283,6779123,9179900,18287126,27502250,40988870,50211956,59336139,68584199,77705553,
41875,1154634,2427957,9212128,18308961,31933415,40996173,50219624,59290686,68579181,82132869,
42073,1151666,6796901,9181037,22707344,27513129,36624946,50172011,59367680,68566500,77806204,
42143,1134301,2401248,9205524,18303458,27508082,40975737,50241104,59287834,68602970,77755251,
41882,5526498,6765709,13583668,18317171,31883361,36583159,45806165,59350110,68550884,77667898,
41912,1128076,6777040,9204264,22712352,27534810,41000674,50239313,59290824,68635190,82142933,
41987,1142965,2396115,9170681,18303138,31927381,40975013,50245604,59338075,68598537,77773889,
42114,1120503,6789602,9177755,18308505,27515526,36640191,50221436,59313576,68539479,77714746,
41812,5569379,2411066,9171493,22713630,31907946,41006100,45826775,54883146,72973162,77754299,
41925,1141594,6782295,9193081,18311593,27530546,36555202,50223459,59286373,68535658,82137555,
42044,1137514,6798648,13619655,18290131,31917801,41009858,50254079,59313181,68621899,77725390,
41815,5519026,2385818,9209025,18347955,27497293,40968040,50226473,59290722,68586089,77773858,
42038,1174762,6766815,9179264,22684340,31893328,36583857,50214507,59306725,68584263,82166391,
42007,1139827,2403270,9218366,18294639,27546800,41020171,45875197,59289165,68602449,77707560,
41968,1115372,6804844,9188690,18300723,31910335,40963965,50200354,59310008,68548972,77773443,
42010,5514440,2403170,9191398,22735237,27470837,36571519,50261520,59254704,68615875,77752334,
42771,1166853,6756596,13592558,18288972,31911751,41019356,50176602,59318648,68609490,82119366,
41859,1134997,6756223,9209577,18318967,27525809,36581439,50209935,59319951,68556782,77759662,
41983,1102335,2388695,9170445,22689145,31921121,40957444,45824305,59313120,72997096,77824928,
41963,5514134,6779050,9195908,18290102,27513259,40995500,50210003,59302821,68590649,77747682,
42108,1170889,2403057,9196301,18305799,31911268,36611075,50220913,54886349,68630108,82140567,
41869,1129864,6785825,9191366,22749420,27507097,40946790,50172335,59284512,68592392,77772493,
41973,5498251,2385824,9235461,18272103,31912028,36604190,45811452,59314242,68594569,77757693,
41830,1109592,6811038,13603935,18284898,27463171,40956138,50253898,59321517,68561173,77729385,
42116,1169330,6767126,9184784,18325513,27488869,40988189,50239427,59297752,68646519,82188846,
41822,1132280,2408174,9227898,22688136,31932124,36625017,50199497,59307208,68605564,77779008,
42263,5500759,6777278,9193318,18302634,27499746,40982624,50187054,59324377,68580057,77782784,
41917,1120892,2395009,9190523,18336226,31905930,36540016,45860050,59320055,72959229,77780861,
41996,1170889,6782612,9193780,22694138,27497751,41007509,50177292,59312911,68544213,82148862,
41781,5506229,6772839,13591547,18280073,31942653,40972379,50245719,59343956,68623244,77771453,
42178,1129569,2377005,9187640,18311022,27509379,36601859,50184153,59325885,68646134,77781789,
41981,1136176,6763807,9201393,22695137,31906358,40988668,45826245,59298186,68565722,82123276,
41980,1155877,2378101,9195540,18306323,27486568,36556887,50206643,59347876,68662882,77686663,
41862,5496083,6798306,9222980,18334257,31951962,40967614,50191293,54894685,68587016,77813146,
42066,1102187,2389324,9199910,22703933,27464444,41023159,50256359,59327375,68585351,77744782,
41873,1134859,6764902,13592081,18273905,31919397,36591739,50185910,59260442,68576894,82064682,
42035,1133617,6771909,9200098,18292904,27489877,40959878,45886483,59311970,72957888,77750794,
42051,5499940,2363854,9233517,18310254,31954730,40989618,50186961,59287825,68561156,77778664,
41926,1123104,6760680,9192452,22689341,27527215,36567522,50175279,59351404,68585766,77712015,
41810,1124695,2390625,9203198,18335631,31904380,41005118,50277192,59292605,68602273,82109488,
42167,5511769,6782312,9197185,18299051,27479657,36603463,45796620,59379153,68603145,77717311,
42021,1161425,2388975,13589781,22691714,31948639,40973847,50225178,59255204,68554374,77764905,
42009,1141103,6747020,9201516,18280955,27480174,40978282,50177980,59344321,68569596,77738468,
41975,1163404,6760395,9194918,18309416,27498023,36625614,50235370,59284028,68604179,82100853,
42123,5514170,2384749,9198160,22722855,31904361,40959278,50219217,59316982,68589683,77779436,
41801,1116668,6775649,9224905,18290697,27520740,36596014,45830427,59312345,68581091,77751380,
42219,1133072,2392951,9197091,18334192,31905293,40996163,50239442,54952490,72941659,77735220,
3755387,1109872,6769374,13587756,22707499,27503101,40989267,50210967,59313515,68555483,82124666,
43843,5508316,2413744,9201155,18284271,31927051,36618728,50201110,59308989,68611329,77782389,
42620,1137379,6778460,9229225,18298171,27543078,41002845,50189978,59289595,68607232,77741442,
42601,1125796,6767346,9198978,18346367,31885824,36558300,45792421,59304363,68549109,77691855,
43280,5511897,2398413,9185151,22699389,27491342,41006822,50228709,59307521,68600701,82145422,
43739,1170147,6778314,9191216,18323210,31945947,40995379,50188594,59317205,68568421,77777229,
41741,1128731,2392616,13580118,18308589,27505868,36589622,50226680,59283741,68622244,77754490,
