Run 1 Latency M[256],Run 2 Latency M[6400],Run 3 Latency M[12800],Run 4 Latency M[25600],Run 5 Latency M[51200],Run 6 Latency M[76800],Run 7 Latency M[102400],Run 8 Latency M[128000],Run 9 Latency M[153600],Run 10 Latency M[179200],Run 11 Latency M[204800],
40830,1036648,2073917,8568717,17741278,26929455,36088118,45307274,54496569,68668850,78007374,
34922,903132,1804000,9196691,18343719,27560162,41683761,50878284,64842811,69088540,78130126,
34838,902928,6778966,9280833,18372292,32572392,41573190,50729438,59676733,68788105,82765098,
34990,902320,7056821,9213176,23380451,32444180,36409174,50564842,54567988,68660428,77772835,
35675,5820310,2091041,9192865,18255099,27414547,41367404,50449212,59431959,68529445,77637700,
34861,900425,7112369,14243793,23295588,32357291,36367648,50502914,59427804,68498071,77578664,
35005,901132,1925182,9207767,18228929,27336737,41281286,45390254,59352748,73546650,82575430,
35672,6104273,7290251,9154762,18206371,32252495,41275121,50368265,59330526,68488096,77582656,
34865,974661,7030997,9149934,23212413,27292190,36295245,50339608,59351214,68524858,77604881,
35042,901193,2029519,9218787,18195742,32295131,41186232,50345308,59364618,68539724,77594796,
34945,903488,7168509,9103968,18170867,27251888,41257171,45386053,59353158,68518031,82575952,
35495,6152767,1925343,14157636,23192230,32234918,36218360,50327852,59350337,68568099,77629461,
34906,1007079,7275998,9174105,18165033,27204387,41185858,50345084,59331355,68483159,77587863,
34709,902715,7123976,9135320,18144330,27230540,36257737,50366408,59363230,68527861,82574497,
35805,6011341,2002207,9197058,18148736,32242293,41224797,50376608,59308869,68464204,77563845,
34856,991735,7184086,9117617,23160364,27238533,41195928,45381495,59361480,68520059,77643224,
34767,901298,1912417,14181384,18122280,32234457,36255629,50354083,54379256,73535319,77619166,
34874,902751,7236259,9124468,18169723,27220772,41198887,50371763,59340943,68532321,82532901,
35800,6163627,7035123,9114073,23127872,32260970,36234638,50279821,59369523,68504797,77594067,
34806,943027,2028494,9101947,18107300,27181646,41247108,50385730,59302823,68548522,77582173,
34824,917967,7097737,9120278,18100865,32255521,41205634,45343560,59351176,68522549,77601218,
35904,6066565,1933539,9092819,23123616,27160512,36230359,50310918,59309735,68613946,82526319,
34843,1010621,7202274,14194618,18126564,32263074,41229019,50326465,59359955,68498538,77617459,
34943,894141,7069912,9137395,18140630,27213564,36241324,50361582,59327936,68518462,77616250,
34817,896138,2062079,9093397,23098329,32276630,41184348,45367445,59369584,68527485,77566199,
35497,6121727,7037180,9081579,18122409,27186325,41204753,50375566,59338765,73533280,82596812,
34794,958993,1967209,9133458,18121955,32271105,36236868,50337549,59348382,68493963,77603158,
34829,890432,7237364,9111509,18163797,27203531,41209626,50310918,59359250,68530216,77600018,
35888,890984,1884750,14129373,23091148,32246861,41256855,50337597,54404399,68552613,77593195,
34869,6185447,7213167,9122092,18150493,27209015,36211525,45376364,59348175,68532388,82562202,
34975,902025,6993266,9085251,18161794,32263261,41160476,50339201,59375197,68567901,77584497,
34861,881973,1998909,9092794,23079707,27191954,36271150,50341908,59343427,68520682,77639958,
35438,6195652,7104377,9090977,18107586,27255271,41214133,50307703,59347360,68486833,77600357,
34780,972588,1913030,9110630,18134959,32212709,41241896,45348944,59358434,68509592,82584744,
34869,882239,7204844,14133871,23105052,27274830,36243907,50360099,59349964,68490635,77654268,
35877,883134,7048769,9110030,18133046,32219711,41206574,50332656,59348558,73528857,77572779,
34783,6151435,2044147,9074206,18142532,27259926,36266788,50370421,59367924,68531974,77566961,
34714,918674,7074682,9079879,23059322,32204468,41232361,50343047,59376225,68495420,82604392,
34997,881432,1953367,9113606,18137441,27230700,41198679,45325903,59362243,68538575,77642011,
35662,6099215,7165899,9095096,18140467,32239182,36240321,50346495,59368841,68508816,77552775,
34703,1002005,1861014,14113791,18133735,27201538,41222386,50366984,59371570,68556915,82555095,
34982,881027,7258668,9101403,23114259,32252114,36236579,50357491,54414556,68496927,77590636,
35743,881505,6984825,9084000,18167630,27240586,41239718,50377500,59361088,68522389,77590426,
34914,6135687,1997689,9070031,18089984,32221879,41222869,45375201,59345096,68501085,77611827,
34866,945550,7086497,9086118,23110003,27247980,36239517,50315673,59306444,68497884,82568235,
34783,897626,1911544,9063358,18134306,32227228,41225081,50368154,59346199,73545389,77562094,
35578,881679,7190452,14150471,18118602,27227278,41214707,50352938,59337002,68545708,77636192,
34827,6195199,7057860,9102440,23119137,32223485,36217770,45395465,59372933,68513177,77588096,
34730,901425,2048077,9087019,18167170,27241281,41215437,50361971,59324080,68524722,82556063,
35908,881519,7010045,9069559,18081333,32223801,36236470,50352338,59364776,68526766,77610584,
34721,6109414,1956387,9137766,23094462,27216801,41191202,50340622,59315346,68524218,77618207,
34907,976700,7198476,9070320,18153113,32207194,41251266,50358517,59347220,68515453,77542773,
34756,879019,1878424,14126885,18134073,27243745,36218760,45353538,59372860,68511787,82598032,
35816,881492,7172744,9102363,18124474,27218783,41183224,50346778,54385911,68509183,77634049,
34805,6148978,6987830,9077688,23121865,32235661,36265438,50318613,59379131,73563534,77577853,
34839,929103,2014804,9089087,18094004,27228240,41216903,50351657,59336398,68561111,77685700,
35738,874454,7032546,9095942,18133723,32231459,41182077,45360306,59342740,68523673,82527544,
34931,875318,1938829,9086852,23133504,27209336,36265440,50343294,59305637,68545471,77616276,
34798,6214975,7158518,9131067,18107826,32229485,41172095,50383464,59342115,68509599,77643765,
34806,880551,1850042,14114137,18101025,27174886,36234032,50344979,59387660,68562996,77555344,
35697,875945,7252773,9090867,23103753,32267585,41245833,50319668,59308167,68505767,82591901,
34760,6102072,7031963,9085610,18137764,27187975,41199577,45358487,59410380,68524749,77720360,
35008,1014008,1977063,9140138,18124593,32234043,36238601,50338545,59320146,68537645,77580789,
35643,873449,7105341,9068017,23115802,27209899,41202724,50340889,59401488,68480060,82566702,
34776,871685,1900693,9110972,18125015,32263489,36232725,50337494,59355679,73553151,77625657,
34904,6120818,7207147,14099665,18123838,27216181,41215947,50346141,59394850,68556258,77616695,
34671,916930,7012092,9087703,18123351,32234390,41209265,45350796,54369313,68527908,77580780,
35628,871744,2037216,9100130,23095633,27212958,36230933,50344317,59398908,68579586,82544399,
34785,6094184,6995720,9093904,18145377,32230176,41179111,50334599,59330302,68513533,77632798,
34841,998589,1962867,9084400,18138740,27224185,41269081,50358699,59379522,68545320,77593689,
35780,883861,7106175,9122016,23104337,27214255,36217752,45357125,59281814,68506470,77558127,
34805,871638,1872875,14117893,18103480,32206492,41174095,50337754,59379313,68502177,82558947,
