Run 1 Latency M[256],Run 2 Latency M[6400],Run 3 Latency M[12800],Run 4 Latency M[25600],Run 5 Latency M[51200],Run 6 Latency M[76800],Run 7 Latency M[102400],Run 8 Latency M[128000],Run 9 Latency M[153600],Run 10 Latency M[179200],Run 11 Latency M[204800],
49667,25752049,34178478,51665860,94117840,128598612,171226151,204806491,232030388,256379898,290102430,
48668,17179859,17339969,33915192,62527209,102319805,135926712,163000681,203064972,232945598,273067824,
49085,16807584,16914744,29428210,65950804,102341503,129137342,169983772,205211990,246903792,281648402,
50523,8806443,12116548,32133281,67861972,102333490,135624105,170877111,212899411,247035166,281598944,
667064,8778959,16152164,32750063,67870278,102122648,137699510,178681094,213050320,247042465,281607630,
798510,8427725,16136927,33955314,61927208,102327630,143768522,172743030,207631834,246962600,281569774,
814471,8547711,16442021,33819800,69005883,102420261,138397458,177290118,211791069,246835906,281947694,
834607,8364963,16590334,33956657,73972322,102326627,143066458,178694015,212283672,246943743,282264231,
3891475,8473009,16969243,34187038,68570422,103242285,139078467,171928891,212915709,247328437,282375136,
50253,8466729,17238827,34268108,69237720,109841085,142533840,178143461,213053206,247194481,282107408,
48690,8483754,17599898,34309397,70226003,102799273,162032074,173481894,207962805,247310680,286669709,
50792,8542289,17699063,34225094,73513421,104474925,127833033,176541056,211603313,247381817,281578559,
52602,8442454,17341976,34630156,68590555,108507243,136148243,178733123,212184742,247200218,281584349,
701262,3856942,17641319,34967365,69864196,103559402,137157286,188560551,213043615,247279490,281514455,
795928,8152601,17659728,35600794,74584215,109469742,144453229,162687920,212896046,247321154,281612855,
807780,8175670,22103131,39181484,68642200,102878371,137505727,177480152,213020949,247258323,281599516,
812832,7994197,17163324,34308576,68498962,105128488,144067031,172028535,207394840,247263325,282065301,
3806514,8097520,17169748,34272020,70496722,107765891,138106230,178039499,211620114,247271078,282143611,
47836,8488539,17096247,34249002,74018137,103634347,143519508,173693126,212677742,247257732,282172291,
51201,8068077,17115097,34274752,68489570,109439190,138531501,176364887,213035746,247335487,282377632,
48101,8402537,17156111,34671658,69373093,102873911,143041953,178675047,212981233,247320403,286608004,
61987,8095190,17171764,35017762,70219303,104861651,139082384,172993120,207374638,242479219,281585097,
813134,8091578,17111045,35084321,73397906,108115628,142470105,177098311,211569002,246800696,281516990,
806233,8716345,17287554,39622560,68607700,103721618,139652060,178702944,212800370,246980067,281599692,
822899,8387844,16983745,34287902,69688671,109261919,141882305,172228010,212874262,246836230,281595653,
4475159,8421871,17556771,34271463,74766802,102877447,144438502,177820292,213033072,247049083,281552752,
50446,8481301,17699471,34271195,68590106,105442753,137504068,173779733,207689802,246813735,281826703,
50683,8486831,17328465,34301495,68583706,107628066,144060284,176334977,211656297,247029182,282516443,
48836,8506380,17706892,34549918,70338500,104285743,137904281,178773132,212352585,247004063,282120753,
50055,8541325,17427793,35085938,74068731,108742802,143748492,172990873,212936233,247225750,282264991,
51076,8395753,22411636,35121009,68590986,102873385,138499609,176958645,213022483,247321997,286603197,
50648,8495607,17130561,39561641,69094020,120925395,143015655,178677760,207628961,247326590,281525125,
50666,8529108,17177692,34308706,70539681,108800476,139220938,172256659,211777411,247269267,281683094,
469832,8419982,17194586,34276063,73335823,96834047,142328543,177764405,212161217,247380968,281597992,
