Run 1 Latency M[256],Run 2 Latency M[6400],Run 3 Latency M[12800],Run 4 Latency M[25600],Run 5 Latency M[51200],Run 6 Latency M[76800],Run 7 Latency M[102400],Run 8 Latency M[128000],Run 9 Latency M[153600],Run 10 Latency M[179200],Run 11 Latency M[204800],
145330,8675410,17337373,34652735,69387214,104049440,138726639,173208511,208158783,242876024,281839557,
143046,8662516,17334232,34641274,69344539,103999112,143098043,177558786,212438035,247110347,281877294,
143728,8653931,17321450,34671156,69382199,108446773,138680842,173258398,212405748,247100088,281893017,
144758,8689449,17318572,34661046,73706061,104062901,143097704,177556177,212383540,247149480,281889302,
142803,8659269,17310204,34624138,69365122,108386000,138762014,177648597,212434789,247177874,281870632,
143547,8671196,17328343,34661050,69365716,103980557,143102716,173223302,208102689,247131165,281832382,
144206,9704801,17321497,34667845,69343389,104050031,138696811,177645564,212495373,247124480,281908206,
143086,9415244,17359710,39018637,73749312,108434915,143083530,177553074,212367351,247118484,281893485,
144368,9365558,17325840,34654254,69355014,104038411,138749343,173269718,212421228,247102850,281895155,
143332,8691089,17327715,34652966,69360327,108401460,143107613,177553474,212438571,247099701,281864390,
144219,8660383,17318615,34619591,69334174,104061991,138737365,173200255,208113576,247198323,286307148,
165663,13026668,17328341,34645518,73751422,104006190,143014084,177574937,212423648,247086436,281888542,
142526,8695568,17328322,34638268,69397680,108443256,143127083,177593886,212503257,247116273,281905481,
142982,8664001,17332559,34659709,69376664,104093550,138729926,173223610,212479244,247106193,281857132,
144772,8655432,17349881,34631552,73725139,108394283,143116400,177612797,212440650,247174500,281852909,
144538,8659978,21710804,39029633,69366648,104038139,138717233,177631418,212517646,247134000,281938883,
144045,8682216,17316449,34633809,69384615,104011610,143120113,173189522,208066687,247220445,281856052,
144330,8660768,17331713,34633495,69413408,108370168,138746773,177561954,212438116,247170771,281883458,
144167,8664318,17322059,34625306,73747526,104065751,143094234,173203166,212412536,247135217,281834152,
142674,8658423,17327601,34660462,69341110,108418568,138672929,177609365,212354977,247202025,281967638,
143701,8657732,17358877,34633626,69387655,104052270,143103278,177602103,212503208,247158252,286242422,
142381,8667738,17323351,34633020,69335267,104045356,138723680,173233625,208042009,242815360,281896869,
144182,8663448,17334622,34666573,73738150,108395108,143102670,177584687,212398517,247201229,281860673,
3843722,8658353,17324453,38991515,69391289,104074108,138726759,177618049,212438047,247148578,281900024,
144089,8655340,17328861,34637945,69340316,108439644,143079650,173182359,212452353,247041170,281884772,
143699,8658876,17349647,34647725,73753959,104049033,143094158,177596323,212385488,247162891,281844539,
143512,8702394,17318244,34623075,69363622,104094579,138782278,173221330,208081644,247109546,281879123,
143625,8655533,17341363,34628652,69375353,108427904,143112787,177636736,212451075,247077613,281904878,
143045,8662782,17330516,34629489,69366388,104010605,138707958,177599893,212377144,247171991,281886035,
142573,8659562,17329005,34655380,73721154,108445976,143083483,173246949,212419653,247087462,281835727,
142357,8693353,21699405,34626377,69385161,104029634,138778407,177563501,212391551,247172365,286249490,
143800,8661297,17328899,39018361,69368871,108430267,143129262,177555136,207993451,247251658,281931666,
144042,8651111,17342677,34656914,69354245,104054453,138727977,173213064,212400061,247150220,281969799,
142516,8660889,17319816,34623313,73755104,104017239,143072569,177608912,212384373,247216098,281844650,
143286,8660094,17358075,34664959,69375634,108403607,138752313,177636961,212435206,247113395,281892360,
143426,8658440,17333897,34658365,69387029,104038979,143132769,173211829,212400585,247129762,281919687,
144524,8652598,17323591,34625070,73742358,108409801,143085422,177626057,208059847,247161720,281869249,
142403,8662078,17328963,34634319,69376846,104058572,138717052,173185960,212448270,247129791,281836563,
143022,8659071,17327496,34670756,69379326,104050403,143077230,177533404,212461054,247126598,281811232,
142526,8690601,17369123,39019643,69355189,108428999,138696737,177614993,212324210,247067994,281926661,
143435,8652877,17325912,34636223,73725206,104048075,143135492,173271269,212423252,242687553,286267106,
143088,8661181,17349202,34686421,69333347,108394071,138715699,177595147,208038653,247167008,281830437,
143966,13031173,17326237,34662388,69351533,104032519,143041294,177625257,212371352,247137720,281819940,
143825,8657486,17333327,34639275,69371506,104032929,138703710,173215373,212427570,247126006,281919213,
143920,8658101,17320100,34642205,73727334,108396222,143061437,177559874,212403817,247214304,281906430,
143965,8659608,17367394,34640484,69348039,104046408,138717563,173217205,212390838,247108072,281901086,
142863,8660343,21699009,34668706,69383252,108377699,143116432,177578610,212430548,247182964,281847205,
3825874,8657283,17329469,38991991,73728346,104089900,138741930,177561222,208076582,247131286,281881561,
143882,8656582,17357493,34662139,69422460,104031590,143057894,173275117,212402730,247119105,281941231,
145145,8661911,17331797,34639956,69373443,108406635,143062445,177568934,212465068,247150886,281827804,
143439,8656618,17328319,34620158,69364292,104090060,138702980,177604653,212436016,247064324,286240013,
143446,8657160,17321843,34667846,73743660,108414072,143053478,173181780,212517605,247188565,281890427,
144170,8656622,17361057,34637265,69360299,104035895,138709300,177629445,208087426,247093493,281937700,
142967,8688774,17334226,34616070,69364645,104039979,143089209,173266759,212443454,247155015,281889659,
143408,8663024,17341426,34627986,69364015,108461683,138736449,177601092,212421755,247189443,281844562,
142390,8661830,17320986,39032970,73714718,104017286,143098198,177608570,212523125,247127086,281913511,
143385,8655412,17320366,34641739,69367891,108415993,138756948,173239600,212445387,247148893,281827365,
143917,8660448,17325521,34634574,69333940,104023924,143082672,177625524,208027679,247112470,281833021,
142948,8653535,17327979,34640461,73736763,104000919,138719873,177578000,212476149,247078670,281816694,
143738,8649009,17358504,34616628,69347222,108425855,143082938,173186143,212514377,247138299,281885215,
142252,8653110,17320516,34631337,69372458,104007466,138699226,177508796,212370578,242797906,281889129,
143545,8663145,21722719,34644520,69379542,108443810,143118713,177608126,212427872,247173312,286251539,
142881,8659238,17320257,34613265,73744962,104073178,143109461,173193915,212499521,247162042,281872176,
143563,8657461,17319627,38997016,69362479,108449546,138732545,177680108,208076916,247089545,281853307,
144028,8654295,17327251,34632458,69348895,104045021,143074600,173223509,212434239,247157680,281952835,
142895,8653675,17327654,34656617,69373405,104048113,138749855,177606444,212441449,247170260,281833913,
143143,8689054,17355296,34638202,73787087,108412498,143086429,177526200,212398390,247175624,281826939,
143343,8663798,17324927,34665415,69373267,104035780,138696964,173216435,212403549,247182745,281853944,
143504,8658710,17325338,34677504,69371676,108405264,143071885,177569944,208022267,247091437,281927289,
142550,8665187,17332423,34624171,73734783,104026051,138733756,177624560,212379368,247069334,281900470,
143417,8658002,17327336,34658992,69364288,103977918,143153696,173207681,212407496,247147053,281927911,
142721,8661509,17317539,39007342,69369270,108441541,138701853,177647247,212461696,247208821,286201876,
3825151,8656829,17342040,34665855,69382602,104051213,143092613,173196541,212495692,247107506,281861186,
148285,13042153,17325612,34632151,73713201,108424067,143074669,177600978,208037664,247123090,281880629,
143745,8653534,17320183,34664693,69360100,104060287,138737371,177631830,212430345,247077404,281891508,
144202,8659667,17327083,34652537,69330467,104083363,143065129,173267198,212426020,247123726,281838900,
143425,8655720,21695423,34633825,69353143,108428303,138692928,177573469,212402982,247186573,281870418,
142779,8662345,17329791,34667129,73733533,104059940,143141689,177592660,212461634,247106891,281860329,
143385,8663495,17326176,34662947,69353884,108439325,138740654,173196400,212435211,247135051,281886091,
142813,8657532,17352955,39003991,69391819,104035682,143103256,177539068,208029270,247132409,281909555,
144288,8687796,17327873,34638671,73748481,104061359,138738308,173231433,212449517,242756084,281803791,
142053,8665572,17327575,34662509,69354754,108382492,143084755,177560670,212409676,247144436,286170878,
144179,8665123,17321231,34625329,69336339,104024902,138670329,177597420,212468056,247150389,281896370,
144136,8660040,17326219,34629184,69383108,108459383,143138158,173210259,212431904,247109112,281868592,
143545,8653462,17327286,34654432,73764640,104042216,138696115,177635395,208072947,247088352,281826301,
144403,8664664,17326665,34622763,69390613,104076308,143044070,177546411,212441128,247152309,281815161,
144325,8651137,17345166,34633825,69365012,108434859,143117278,173194211,212434957,247076040,281867193,
142963,8657214,17328420,39017154,69377491,104022928,138744304,177518455,212419880,247195371,281938137,
144036,8661391,17321378,34641970,73747735,108422896,143132990,173244394,212427759,247115573,281924647,
143074,8684815,17331440,34637616,69384710,104053633,138706948,177590175,208075922,247107701,281798087,
142770,8658708,17324482,34621984,69378798,108412088,143053228,177584629,212436342,247159596,281810936,
142790,8661799,21706198,34660452,73715016,104036572,138704641,173196687,212409844,247193622,286356914,
143552,8656533,17323738,34634568,69363570,104009329,143098294,177546868,212489074,247143901,281986500,
143547,8683573,17349150,34662297,69350894,108375096,138733869,177551987,212435409,247095152,281886898,
142599,8661724,17319933,34676122,69363097,104029339,143107340,173189535,212451879,247143268,281835138,
3824644,8655924,17312557,39012958,73709452,108430298,138785218,177564426,208031122,247179794,281907586,
143741,8653961,17331072,34665692,69373499,104040494,143105710,173234885,212417107,247177462,281837553,
144306,8658655,17369644,34647302,69407731,104069942,143133238,177605891,212417649,247104524,281901222,
142415,8658866,17325695,34616014,69353003,108397799,138681580,177578102,212448540,247149857,281804944,
143830,8657435,17357424,34637028,73741655,104071894,143067752,173211672,212448573,247112004,281868969,
143469,8657046,17327513,34655450,69373259,108446083,138676441,177594128,208021529,247179318,281933504,
144041,8666259,17323480,34658927,69374843,104047346,143115795,177549437,212433143,242797906,286283989,
143659,8675578,17314573,34629061,73782864,104033523,138722393,173207084,212414066,247103417,281844116,
144374,8659909,17327755,39023147,69363899,108396143,143105385,177633840,212508301,247092794,281885274,
142837,8650291,17368953,34662954,69359985,104020668,138747053,173189061,212478166,247084982,281921942,
143465,13036383,17325115,34637997,69359987,108377513,143067648,177562562,208034407,247157006,281870372,
143870,8662353,21715039,34626399,73736647,104044072,138713706,177574982,212402573,247189097,281859678,
143348,8676634,17325440,34669911,69384770,104040148,143112633,173178685,212391190,247112471,281846514,
143246,8661437,17331009,34631957,69387932,108400551,138671927,177524769,212420679,247076232,282001278,
143763,8658143,17329718,34626989,69351312,104036395,143083531,177615210,212447418,247085028,281938075,
143636,8668234,17326091,34668375,73750102,108444968,143115937,173247069,208059163,247096107,281911198,
144682,8659530,17360259,39010817,69328973,104050537,138746984,177553372,212456603,247125913,286174821,
143349,8649515,17322235,34638660,69368411,104029310,143105048,173254763,212412869,247123292,281850570,
142276,8666380,17364971,34663251,73721356,108420506,138730871,177566119,212394343,247090404,281920545,
143967,8658316,17324359,34627249,69375225,104025984,143104153,177567236,212408138,247123754,281872227,
143688,8657890,17327806,34632499,69386752,108382164,138700703,173218564,212441499,247200579,281852377,
171470,8656831,17327081,34635312,69341823,104040515,143095984,177646544,208055820,247148238,281839988,
143866,8665308,17347951,34650686,73733848,104000952,138732387,177596248,212496723,247188580,281861264,
143270,8664468,17318587,34639524,69358592,108416734,143128621,173256502,212402805,247105908,281970912,
3822514,8660439,17328900,38995393,69363692,104024757,138670018,177548934,212381973,247106571,281845888,
143035,8700849,17347579,34655166,69384281,108414250,143113669,173246158,212421004,242727059,281835279,
143217,8657420,21702740,34635583,73759446,104066066,143121851,177556563,208037625,247166260,286302315,
143104,8662797,17313551,34637493,69344384,108454495,138734590,177595228,212427354,247162198,281921811,
143211,8658057,17329585,34665013,69380375,104069249,143129030,173213586,212436281,247167534,281836898,
143110,8662699,17355149,34632712,73727864,104024800,138685734,177622012,212477117,247065474,281832253,
143607,8666086,17331099,34635594,69355492,108388151,143053395,177577594,212432162,247161755,281872303,
143384,8665407,17325396,34629012,69370275,104020698,138694814,173224933,208014169,247196593,281917805,
142998,8658685,17321840,39022412,69334165,108410420,143121167,177552897,212400665,247144320,281825033,
142443,8660772,17326961,34632205,73748837,104032074,138785259,177575052,212430003,247121513,281896097,
142656,8661218,17321942,34668721,69364763,103989817,143098039,173208319,212499847,247073540,281851097,
143705,8679762,17328457,34667407,69359940,108408617,138666919,177602918,212472916,247130922,281885460,
144148,8662272,17359394,34629168,69335516,104017205,143110751,173215769,208067540,247155096,286243796,
143038,8659485,17320105,34623493,73731649,108414996,143134495,177572984,212394077,247133578,281781080,
142520,8660793,17323400,34678119,69398847,104031337,138704915,177582403,212429451,247076382,281889850,
142879,8688298,17329627,34663899,69380957,104049207,143076231,173210141,212442112,247109124,281854054,
143454,13032396,17329174,39004482,73750653,108428947,138693587,177505818,212413014,247057990,281952755,
143882,8654313,21700346,34652291,69353925,104087066,143096686,177585688,212413565,247129906,281833454,
146411,8657297,17321157,34678977,69366905,108453318,138731805,173171313,208019955,247164436,281856375,
143026,8653971,17358436,34634641,69362179,104020130,143114347,177631216,212397999,247143783,281861934,
142904,8660272,17335960,34677412,73729588,104039267,138702229,173241114,212460310,247125977,281903284,
142970,8659216,17323061,34624409,69334345,108392187,143075234,177644964,212436496,242707946,281936018,
143602,8666877,17328924,34639405,69370423,104000756,138731961,177614163,212472224,247150866,286230976,
143596,8665645,17322298,34626217,69335474,108403293,143053459,173183479,208016016,247150765,281860766,
3824283,8690724,17333899,39030337,73742529,104064267,138702674,177601108,212450959,247088257,281854980,
144505,8657334,17319588,34618786,69394880,104034131,143127283,177546894,212409343,247149133,281932426,
143255,8656730,17367407,34638260,69350662,108459363,143111898,173232482,212402066,247149361,281881425,
142501,8661709,17327396,34662011,73740399,104053263,138740954,177538935,212468216,247122686,281859129,
143423,8676915,17327985,34636352,69354477,108397363,143101752,173271577,208039781,247136268,281867537,
142974,8644841,17321552,34625823,69381806,104080261,138681266,177561576,212447327,247097926,281956941,
144284,8666402,17326563,34653928,69360621,104069845,143059757,177593528,212392748,247150932,281867765,
143148,8660666,17321485,39016054,73741132,108380778,138724822,173176232,212390848,247181832,281817126,
142627,8663188,17362236,34623140,69399612,104055533,143055822,177587673,212412704,247191065,281919247,
143896,8656799,21691786,34624701,69367224,108441176,138703314,177538586,208017926,247080280,286230393,
142442,8659907,17334728,34657543,69376469,103976029,143095633,173261965,212419429,247079197,281863522,
143764,8660017,17322903,34633050,73754037,108409925,138706041,177628046,212500314,247127667,281855430,
142614,8659881,17329167,34655839,69328497,104038880,143126520,173204167,212442043,247147106,281962853,
143583,8694498,17331025,34646187,69364568,104011598,138732242,177548869,212414867,247197299,281906638,
143143,8661040,17325500,34632384,73773383,108394315,143023487,177584148,212440858,247119215,281856781,
141992,8667474,17357510,34655337,69332166,104059570,143117019,173165971,208073029,247076186,281837286,
143729,8661959,17328483,39011755,69376775,108438772,138745976,177606998,212429006,247124040,281955270,
142857,8653337,17323243,34639425,69343144,104042574,143083299,177582632,212442783,242772437,281894354,
143229,8684180,17338603,34644821,73750375,104072971,138687621,173200924,212481845,247158964,281822886,
142516,8660278,17320890,34645169,69346483,108398976,143090406,177622609,212428857,247149946,286241348,
143469,8663642,17366580,34657940,69338441,104038332,138699623,173188277,208028991,247094353,281852013,
144054,8645390,17331234,34628190,69382242,108395817,143103809,177589773,212393818,247141469,281952112,
142680,8658073,17370633,34662607,73765947,103989398,138706698,177537127,212442376,247173468,281836864,
142416,8659168,17327771,39023320,69385803,104053344,143112466,173219026,212445858,247117422,281850258,
142437,13036934,21713863,34633242,69370471,108355369,138752343,177574188,212406118,247107096,281908452,
3824552,8658134,17328017,34620597,73726777,104028340,143126110,177595679,208005644,247057006,281914120,
144064,8664067,17356969,34656542,69395013,108401102,143091052,173225772,212403546,247092517,281905312,
142954,8699912,17333374,34678931,69367540,104017804,138696485,177586195,212348653,247151764,281820010,
143465,8660499,17343066,34636163,69341938,104037198,143080360,173198715,212456079,247157551,281904000,
143405,8654183,17321871,34652347,73728316,108451276,138749366,177582843,212482839,247148590,286272531,
142782,8660186,17322723,34630034,69336915,104050036,143120746,177581605,208063166,247116304,281836953,
143203,8666004,17329318,38999638,69349545,108395097,138748839,173243908,212419724,247091496,281820543,
143215,8662066,17329507,34655760,69370802,104062368,143076116,177593061,212397108,247155037,281871092,
144677,8652713,17359546,34620518,73728625,104062107,138752218,177575404,212411511,247218741,281863222,
143216,8664739,17331841,34644733,69378724,108379015,143097867,173195968,212478771,247151102,281820664,
142722,8655625,17336053,34624174,69350854,104029844,138689541,177632893,212494244,247091760,281894356,
143429,8664191,17328945,34676970,73743844,108414305,143065786,173158404,208101786,247133700,281830164,
143576,8659385,17323029,34638582,69366605,104017526,138739613,177619328,212418423,242757415,281876161,
